text,status
รู้สึกว่าตัวเองตอนนี้แม่งโคตรงอแงอ่ะ เหี้ยไรก็ไม่เอา เหี้ยไรก็ไม่ถูกใจสักอย่าง โคตรน่ารำคาญตัวเองตอนเป็นแบบนี้อ่ะ อยากเอาตัวเองไปทิ้ง อีห่า,1
ไม่รู้จะกินอะไร ข้าวหมูน้ำมันหอย ปีกไก่ทอดละกัน,0
ไอโซ่ไอเลว เอากะเค้าไปทั่วเลยอีหอยเป็ดเอ้ย,1
ไปตายซะไอ้เหี้ย เศษสวะสังคม,1
หมาเหมือนหน้าเลยนะคำพูด,1
เป็นเวรดึกที่ทรมานเหี้ยๆ ตานี่แดงก่ำหมดแล้ว ง่วงมาก ยิ่งดึกคนไข้ก็ทยอยเข้าห้องผ่าตัดเรื่อยๆเหมือนเดินพาเหรดเลยจ้ะ รู้ตัวอีกที เช้าแล้ว,0
คนหลายคนอาจจะบอกว่าเราควรยอมรับฟังความคิดเห็นของคนอื่นทำเป็นทีม แต่ในบางทีขยะสังคมบางกลุ่มไม่ควรให้ค่าเนอะ,0
โตเป็นควายละยังไม่มีมารยาท อีส้นตีน ทุกคืนเลย เดือนก่อนก็เคยให้เจ้าของหอเตือนไป นี่มึงเอาอีกละ อีสันขวาน,1
ภารกิจวันนี้ คือการซื้อผ้า เย็บปลอกหมอนให้คุณใบโต เสร็จร้อยเรียบ แต่ ฝีเย็บนี่เลวมากอะ สมกับเป็นสถุลสตรีจิงๆ URL,0
เจอทีมแบบพวกเหยียบคนอื่นนี่ไม่ไหวจริงๆ พากันรุมด่าคนๆเดียว คือเขาจะเล่นดีไม่ดีมึงก็ไม่มีสิทธิ์ไปว่าเขา ต่ำ,1
คิดว่าสนุกมากปะ อีคนทำอ่ะ อยากจะสาปแช่งเหลือเกิน เอาเรื่องแบบนี้มาล้อเล่นได้คือต้องเป็นคนไง รึเป็นสัตว์เดรัจฉาน โกรธอ่ะ มากด้วย,1
คำว่า นิสัยคงไม่เหมาะกับมึง ต้องใช้สันดานแทนถึงจะถูก ตอแหลได้ตุ๊กตาทอง เอกการแสดงตอแหลยอดเยี่ยมเลยว่ะ,1
ชีวิตช่วงนี้แม่งเหมือนกราฟนิ่งอะ ไม่เศร้า ไม่สุข ไม่ห่าไรเลย,0
ทำเป็นรู้ดี ไอสัด มึงอย่าเสือก มึงได้ยินยัง ควย ไอสัด มึงอย่าเสือก,1
หัวร้อนทุกครั้งที่คิดถึงประเทศไทย ความเป็นอยู่ก็กากรัฐบาลก็เฮ็งซวยแถมไม่ใช่มาจากการเลือกของกูอีก วิจารณ์ก็ไม่ได้ ดาก็ไม่ได้ sacred เหลือเกิน,1
วันทองยังแค่สองใจ แต่คนจัญไรหลายใจกว่าวันทอง,0
