text,status
Em được làm fan cứng luôn rồi nè reaction quá hay quá dễ thương coi mấy giờ này quá hợp lí,0
Đúng là bọn mắt híp lò xo thụt bên việt nam tao cái này ra cách đây năm rồi và bọn tao gọi là cái L,1
Đậu Văn Cường giờ giống thằng sida hơn à,0
CÔN ĐỒ CỤC SÚC VÔ NHÂN TÍNH ĐỀ NGHI VN NHÀ NƯỚC VN BAN THƯỞNG,1
Từ lý thuyết đến thực hành là cả câu chuyện dài,0
Coronavirus is manmade,0
Đố chúng mày nhận ra ai,0
Lúp núp như chó,1
Thế mà mình nói mấy thằng bắc kì bọn đó lại bâu vô nói mình phân biệt,1
Được anh ơi lâu rồi không nghe phúc du rap,0
Cắt cho trẻ trâu bớt thôi mà,0
Nghe rất vô lí nhưng cực kì thuyết phục,0
chán ghê không có bé mới máu được hâhha,0
Sao tao gửi được bây,0
thế đấy làm gì bọn nó bọn nó có quyền nên làm gì chả được,0
Loại này cho dựa cột thôi chứ độ thế nào,1
Thuong quá di,0
Dạy bơi cho cá Bơi thì đương nhiên nó bơi được vì nó là cá Làm sao cho nó sống được mới là điều người dân đang quan tâm,1
Ủa chứ bữa xin lỗi khóc tế om xòm mà giờ chửi nữa rồi bó tay con này hỗn quá,1
Bamtp chạy ngay ddi,0
Cứ đăng cái ảnh bố con là y như rằng bị đổi,0
Dàn Táo năm nay làm chương trình TÁO QUÂN VI HÀNH nhé mọi người phát sóng giờ tối Tết trên VTV,0
Thật chán với chế độ quản lý dân sinh,1
Đời vô thường lắm sống phải tu tâm tích đức cô ơi khẩu nghiệp quá cô ơi,0
có ai biết làm cách nào để tìm lại được đồng đội đồng chí hay bạn hữu cùng đơn vị của người trong bức ảnh không,0
Sống chậm lại các mày,0
Chương trình quảng cáo xin được bắt đầu,0
Nguyễn Hữu Nhân đớp cả của cháu Thứ mắc dạy,1
Nhậu cái địt mẹ chúng mày lũ chó hại dân hại nước,1
Thế Vinh Yasbaga tối cao,0
mài có óc để suy nghĩ không quản trị viên cái đồng băng đó mài tính đào hồ bao nhiêu cho đủ hả thằng ngu,1
chuẩn,0
Chỉ vàng ngọc như con heo nọc nhà em,1
phải thầy không ta,0
Cảnh sát chính tả comingg nè,0
Xuân đương tới nghĩa là xuân đương quá,0
Nhìn chúng nó bình luận mà đắng bạn à,0
Ý thức còn ít hơn cả số tiền trong túi tao,1
Em yêu anh từ thuở tóc dài,0
theo chân mấy anh hàn quốc rồi,0
Lương tháng triệu thôi à con trai nhưng bố vẫn ăn tạm táng hoàng đế để sống quá ngày thôi con trai à,0
Mệt quá thầy ạ,0
Gia Lộc Tran Quang còn gì vui hơn cãi vã,0
chị Hôm nay đẹp quá,0
Xem rồi nè,0
Việt Tiến nghèo là rõ,0
x video,1
thầy đéo xoá kênh kêu gọi học trò báo cáo cho bay kênh thiệt luôn,1
Anh ba xạo nháo là Tú xiên giờ,1
Người ta bị lừa gạt tỷ mấy còn êm ru mà đằng này hơn trăm triệu thôi mà la um xùm hà,0
Tú thích hoa hồng và mùa đông được Quang đâm phía sau mông,0
mẹ sao bộ không mở cửa hàng kinh doanh bán bình luôn cho dân không lại phạt vì mua phải bình đểu,1
Cuối cùng anh đã trở lại Em tưởng anh biến mất luôn cho em mừng thiệt là tình nội dung mang tính giải trí Ko có ý anti hay ghét ai,0
Chi cai gi cung co nhung cai lồn la ba rọi béo hét kiếp nay cung không bao gio co,1
Vừa tăng lương phát biết ngay,0
Ai là cảm tình diên thích,0
Xin tộc trưởng hãy cho Hiếu lợn thần ra trận Đảm bảo sẽ có chiến thắng,0
Đấu khẩu Chim lợn,1
Cai miệng nói không sợ bị hậu quả,1
năm rồi à,0
Đầu thứ tóc rồi mà còn bị trẻ trâu Levi lừa,0
Nguoi mien trung nhu em chi ngoi xem cac bac chui nhau thôi,0
Khắc Thành Nguyễn phục cái máu lồn,1
Quan va Dan nhu nhau phai ton trong phap luat Khong thuen vi mot ai,0
Chúc ba rọi béo vui vẻ,0
không vào thì lấy đâu ra vốn vay FDI cho các anh đút túi,0
Việc nhẹ lương cao mình xin nhường cho những người thất nghiệp,0
B If J,0
Chào người anh em,0
Diệp Gia Nghi nghiệp nó quật mày chết bây giờ,0
Duy Khương bên nó ai bị hoặc nghi bị thì tự cách ly tự điểu trị nhé nó còn không cho xét nghiệm cơ chỉ khi nào bạn chết thì nó mới khám nghiệm để kết luận có do vi rút hay không ở ngoài đường mà đeo khẩu trang bọn Anh nó còn đấm vào mặt cho chứ ở đó mà điều trị,0
x chứ ông anh già,0
Trương Duy không người chơi giá trị nhất đội mình thì là người chơi giá trị nhất của đội bạn,0
Xin video với anh,0
Bị gì bị lắm thế,0
Du học sinh Úc cơ ấy,0
Ôi vãi anh quang,0
Chờ đợi nồi bánh chưng mới được fan cứng nên bình luận cho không mất chứ không biết chơi GA,0
Khá khó,0
Giúp em làm đẹp với E không có điều kiện Ko có khả năg nhưng thấy có người đẹp em rất thích,0
Thu Boo xuất sắc nhưng em lại làm mấy bạn kia buồn thêm,0
Hoan nghênh ông Trần Dần có tư tưởng tiến bộ không chống cộng sảng Việt Nam nữa Chỉ có quên đi quá khứ để yêu thương Ai cũng về già lo tu thân sám hối là điều lựa chọn tốt nhất Chúc ông Trần Dần sống lâu tuổi và luôn khỏe mạnh đẹp lão,0
Mấy thằng già làm bộ trưởng này nọ mà đầu óc thua cả bác nông dân,1
Võ Thành Nhân huyền thoại,0
Sương mù là tại thiên tai,0
Mình không quan tâm cô đơn cho lắm,0
Thế em thích làm phù thuỷ rồi bạn nam phải làm sao đây anh nhỉ,0
Uầy tôi là cưng phán các ông ạ được vãi lồn anh ơi,0
Maruko Linh,0
ảnh này ở video Superheroo nghe buồn não ruột,0
anh tik nói quá đúng luôn,0
BaVi,0
Ở đây ai là chủ,0
Minh mẫn vãi cả lồn,1
Chú Bòn em chặt chứ không ăn nhé,0
Cực kì thuyế hác xì á chết mẹ,0
Lee Quang tôi toàn nghe nhạc của buồi anh tuấn Hà anh tuấn Nghe mấy bài này không thấm nổi,0
Nguyễn Trọng Thái người ta nói bạn đợi nhưng bạn có biết bạn đang đợi cái lồn gì không Hay là đợi thiệp hồng,0
Có anh Độ Tết lúc nào chả vui,0
Nghe nói trước đây số thành phần người hà nội kì thị dân vĩnh phúc đúng không nhỉ Bh sao thì mấy ngừoi đó bị lây hết chưa ấy nhỉ,0
Huy Hoàng,0
Thảo NG thua tại dốt anh văn quá,0
Dần dần thấy jack mất hay,0
Dì ê dì là trai hay gái ạ,0
Vợ Cuốc sư là Bùi Kim Thành còn vợ nhỏ là lisa phạm,0
Trước khi cắm lên đầu em cái sừng nó cũng bảo y như thế,0
éo nhé lêu lêu,1
Cận thận nhà anh em,0
Idol,0
Duyên Phạm ghê trời nay văn chương dữ hén,0
xin ạ,0
Hoàng Minh,0
Anh Trung Magic,0
có một sự tồn tại của đàn bò mang tên cực kỳ thuyết phục có sở thích là nhai đi nhai lại mục đích của chúng trên hành tinh này vẫn chưa có lời giải đáp theo như các nhà động vật học cho biết loài bò này có lối sống hoang dâm trụy lạc có thể động dục bất cứ lúc nào con số của loài này đang được gia tăng đáng kể,1
Ck mình mày là gì á mọi người,0
Cho toyy xin thông tin FB hoặc số điện thoại zalo hay instagram được không,0
Chị chửi là chị cứu nhân độ thế,0
Nghi vấn thầy chà trộn TTBL tu,0
Lại Hợp Sâm cái lồn mẹ đến vậy thì ff,1
Dao chặt không đứt ha ha,0
Hồng Thy cái giọng điệu nói cảm thấy hao hao giống,0
Nhanh thực sự,0
Đồng Nhung máy bay phalcon tỷ belike,0
So Pre Tài Trợ Độ Tây Ngày Hôm Ngày,0
Nghe kể chuyện tí rồi làm tiếp anh Thanh Le,0
Hoàng Anh từ tư,0
Dep trai moi co nhieu dua yêu,0
Bt các bạn phan cuồng chửi vậy mình đã không nêu ra ý kiến cá nhân,0
thêm một người bị cộng sảng nhồi sọ không biết sao có thể nạo ra được hết chất bà ấy trong đầu,1
Nghe giọng nứkg quá Abe,1
ông làm bố tôi hơi lâu rồi đấy' Tùng sói said,0
Vì trả lại top nên tối nay mình xin phép ea vân vân,0
Anh Trung Giả Kim,0
Có khả năng tối nay anh bị ngủ ngoài đường còn tiếp,0
